0.20375421409420022: {'no_components': 26, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 1.5}
0.2057356064216605: {'no_components': 28, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 1.5}
0.2064568565723423: {'no_components': 28, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.0}
0.20653709071365428: {'no_components': 12, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.20715071873704666: {'no_components': 12, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.2090786854595951: {'no_components': 18, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.20949811776389932: {'no_components': 12, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.2101195262876716: {'no_components': 14, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.2111852964356986: {'no_components': 12, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
0.21532510870938698: {'no_components': 16, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.21797194148946972: {'no_components': 18, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.21818602381269062: {'no_components': 16, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.21868229847039516: {'no_components': 20, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.21953617869068526: {'no_components': 16, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.21956270937551053: {'no_components': 18, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
0.220136928825855: {'no_components': 16, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
0.220227415728277: {'no_components': 14, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.22268331176309553: {'no_components': 24, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.22338250294850096: {'no_components': 18, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.22359301491444833: {'no_components': 22, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.22369985569085937: {'no_components': 12, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.2237510236246858: {'no_components': 14, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.2240976684780601: {'no_components': 14, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.22470115043239916: {'no_components': 24, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.22477673438608411: {'no_components': 16, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.22480197903729304: {'no_components': 18, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.22486780692964983: {'no_components': 10, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.22524689039569004: {'no_components': 14, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
0.22554492016935868: {'no_components': 18, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.22567986570511311: {'no_components': 20, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.22591566365714022: {'no_components': 12, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.225941176473003: {'no_components': 20, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
0.22602873042795882: {'no_components': 26, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.22613821307087045: {'no_components': 20, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.22635851248829045: {'no_components': 10, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.22657331870298178: {'no_components': 22, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.22667301931912576: {'no_components': 14, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.2267119654656952: {'no_components': 14, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.22673398085081659: {'no_components': 24, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.2269366739953198: {'no_components': 20, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.22707057467820402: {'no_components': 12, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.22718341540966502: {'no_components': 28, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.22722569179560445: {'no_components': 30, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.22728533933726713: {'no_components': 10, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.22732071390224373: {'no_components': 16, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.2273771665314539: {'no_components': 16, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.22741636384991537: {'no_components': 20, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.22741922410142115: {'no_components': 24, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.22750594683035913: {'no_components': 28, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.22750825429441535: {'no_components': 26, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.22752847093106726: {'no_components': 16, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.22758337916833016: {'no_components': 24, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
