0.23962951117716863: {'no_components': 70, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.23407767590088419: {'no_components': 70, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.2366430912784002: {'no_components': 75, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.237253514547145: {'no_components': 75, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.23718836299875043: {'no_components': 75, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.23719537777691393: {'no_components': 75, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.25597448882421203: {'no_components': 75, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.25221433343249744: {'no_components': 75, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.2513127081097553: {'no_components': 75, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
0.25216009769247016: {'no_components': 75, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.24136173236705635: {'no_components': 75, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.24660356467645866: {'no_components': 75, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
0.24415941117286138: {'no_components': 75, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.23846149056557436: {'no_components': 75, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
